"Card_ID";"Navn";"Arbejdssted_ID";"Vejadresse";"Postnummer";"Bynavn";"Aabningstid";"Telefon";"Faellespostkasse";"Web";"Url"
"222";"Distriktsskole Smørum";"108";"Flodvej 89";"2765";"Smørum";"";"";"";"www.distriktsskole-smoerum.dk";"http://www.distriktsskole-smoerum.dk"
"223";"Distriktsskole Stenløse";"228";"Præstegårdsvej 30";"3660";"Stenløse";"";"";"";"www.distriktsskole-stenloese.dk";"http://www.distriktsskole-stenloese.dk"
"192";"Døgnhjemmeplejen (Ølstykke)";"349";"Tofteparken 36";"3650";"Ølstykke";"";"";"";"";""
"208";"Egedal Arkiver og Museum";"310A";"Østervej 1A";"3650";"Ølstykke";"";"";"";"egedalhistorie.dk";"http://egedalhistorie.dk"
"213";"Egedal Byråd";"400B";"Dronning Dagmars Vej 200";"3650";"Ølstykke";"ÅbningstidMandag - onsdag	10.00-14.00Torsdag	10.00-17.30Fredag	10.00-12.00";"7259  6000";"borgmestersekretariatet@egekom.dk";"";""
"187";"Egedal Gymnasium og HF";"244";"Gymnasievej 1";"3660";"Stenløse";"";"";"";"egedalgym.dk";"http://www.egedalgym.dk/"
"114";"Egedal Kommunes Bo- og Aktivitetscenter";"250";"Jægerbakken 38";"3670";"Veksø";"";"";"";"www.ekba.dk";"http://www.ekba.dk"
"115";"Egedal Kommunes Bo- og Aktivitetscenter";"343";"Ny Toftegårdsvej 8";"3650";"Ølstykke";"";"";"";"www.ekba.dk";"http://www.ekba.dk"
"217";"Egedal Kommunes Madservice";"235M";"Damgårdsparken 1";"3660";"Stenløse";"";"";"";"";""
"139";"Egedal Kommunes Tandpleje<br>Administrationen";"228TA";"Præstegårdsvej 30";"3660";"Stenløse";"";"";"";"tandplejen-egedal.dk";"http://www.tandplejen-egedal.dk/"
"159";"Egedal Materielgård";"215";"Dam Holme 2C";"3660";"Stenløse";"";"";"";"Prøv vores Tip Egedal App";"http://www.egedalkommune.dk/tipegedal"
"80";"Egedal Musikskole";"316";"Udlejrevej 13B";"3650";"Ølstykke";"";"";"";"egedalmusik.dk";"http://egedalmusik.dk/"
"206";"Egedal Musikskole Administration";"400M";"Dronning Dagmars Vej 200";"3650";"Ølstykke";"";"";"";"egedalmusik.dk";"http://egedalmusik.dk/"
"225";"Egedal Rådhus";"400R";"Dronning Dagmars Vej 200";"3650";"Ølstykke";"ÅbningstidMandag - onsdag	10.00-14.00Torsdag	10.00-17.30Fredag	10.00-12.00";"7259  6000";"kommune@egekom.dk";"";""
"207";"Egedal Rådhus Visitationsteam";"400V";"Dronning Dagmars Vej 200";"3650";"Ølstykke";"ÅbningstidMandag - fredag	09.00-15.00TelefontidMandag - fredag	13.00-14.00";"7259  6000";"kommune@egekom.dk";"";""
"211";"Egedal Rusmiddelteam";"239B";"Skolevej 10B";"3660";"Stenløse";"";"";"";"egedalsocialpsykiatri.dk";"http://egedalsocialpsykiatri.dk/"
"227";"Egedal Sundhedscenter";"400S";"Dronning Dagmars Vej 200";"3650";"Ølstykke";"ÅbningstidMandag - torsdag	08.00-17.00Fredag	08.00-15.00TelefontidMandag - torsdag	07.30-15.00Fredag	07.30-13.00";"7259  6000";"kommune@egekom.dk";"";""
"170";"Fritidsklubben Hampen";"332B";"Hampelandvej 7B";"3650";"Ølstykke";"";"";"";"fkhampen.dk";"http://www.fkhampen.dk"
"72";"Fritidsklubben Springbrættet";"106";"Flodvej 64";"2765";"Smørum";"";"";"";"klub-spring.dk";"http://www.klub-spring.dk/"
"196";"Gæstehuset Smørum";"122B";"Gammeldamsgård 6";"2765";"Smørum";"";"";"";"gaestehus-smorum";"http://egedal.inst.dk/Foresides/IntraForeside.aspx?Location=IP.177"
"198";"Gæstehuset Stenløse";"245";"Skolevej 10A";"3660";"Stenløse";"";"";"";"gaestehus-stenlose.egeborn.dk";"http://egedal.inst.dk/Foresides/IntraForeside.aspx?Location=IP.178"
"76";"Ganløse Bibliotek";"216";"Østergade 12";"3660";"Stenløse";"";"";"";"egedalbibliotekerne.dk";"http://www.egedalbibliotekerne.dk/"
"23";"Ganløse Fritids- og Ungdomsklub";"232";"Strædet 1";"3660";"Stenløse";"";"";"";"GFULiselund.egeborn.dk";"http://egedal.inst.dk/Foresides/IntraForeside.aspx?Location=IP.6A"
"154";"Ganløse Idrætsanlæg";"202";"Vestergade 5B";"3660";"Stenløse";"";"";"";"";""
"102";"Ganløse Skole";"226";"Vestergade 5A";"3660";"Stenløse";"";"";"";"ganloese-skole.dk";"http://www.ganloese-skole.dk/"
"81";"Ganløsehallen";"226I";"Bygaden 1";"3660";"Stenløse";"";"";"";"";""
"12";"Gartnervænget";"236";"Gartnervænget 2A";"3660";"Stenløse";"";"";"";"";""
"189";"Græstedgård Tilsynsførende kontor";"317";"Udlejrevej 13B";"3650";"Ølstykke";"";"";"";"";""
"103";"Hampelandskolen";"332";"Hampelandvej 7A";"3650";"Ølstykke";"";"";"";"hampelandskolen.dk";"http://www.hampelandskolen.dk/"
"125";"Hjælpemiddeldepotet";"340";"Lyshøjvej 3A";"3650";"Ølstykke";"";"";"";"";""
"138";"Hjemmeplejen Carl Hansens Allé";"339H";"Carl Hansen Allé 49";"3650";"Ølstykke";"";"";"";"";""
"119";"Huset Værested";"304";"Udlejrevej 11";"3650";"Ølstykke";"";"";"";"";""
"112";"Jobbroen";"312";"Langebrovej 6";"3650";"Ølstykke";"";"";"";"";""
"10";"Jobcenter Egedal";"400J";"Dronning Dagmars Vej 200";"3650";"Ølstykke";"ÅbningstidMandag - onsdag	10.00-14.00Torsdag	10.00-17.30Fredag	10.00-12.00";"7259  6000";"jobcenter@egekom.dk";"";""
"24";"Juniorklub Hampen";"332A";"Hampelandvej 7B";"3650";"Ølstykke";"";"";"";"";""
"26";"Juniorklub Ørnebjerg";"306A";"Irisvej 11";"3650";"Ølstykke";"";"";"";"";""
"113";"Kernehuset";"304A";"Udlejrevej 11
";"3650";"Ølstykke";"";"";"";"";""
"214";"Klub Egedal";"120B";"Hindbærvangen 224";"2765";"Smørum";"";"7259  8590";"";"klubegedal.dk";"http://www.klubegedal.dk/"
"161";"Knardrup Renseanlæg";"218";"Knardrup Bygade 48";"3660";"Stenløse";"";"";"";"egedalforsyning.dk";"http://www.egedalforsyning.dk/"
"104";"Lærkeskolen";"228";"Præstegårdsvej 30";"3660";"Stenløse";"";"";"";"laerkeskolen.dk";"http://www.laerkeskolen.dk/"
"82";"Ledøje-Smørum Idrætscenter";"111";"Flodvej 62";"2765";"Smørum";"";"";"";"";""
"195";"Legestuen Smørum";"122";"Gammeldamsgård 6";"2765";"Smørum";"";"";"";"legestue-smorum.egeborn.dk";"http://egedal.inst.dk/Foresides/IntraForeside.aspx?Location=IP.174"
"199";"Legestuen Solstrålen";"348";"Stengårds Plads 6C";"3650";"Ølstykke";"";"";"";"solstraalen.egeborn.dk";"http://egedal.inst.dk/Foresides/IntraForeside.aspx?Location=IP.173"
"197";"Legestuen Stenløse";"246";"Skolevej 10A";"3660";"Stenløse";"";"";"";"legestue-stenlose.egeborn.dk";"http://egedal.inst.dk/Foresides/IntraForeside.aspx?Location=IP.175"
"105";"Maglehøjskolen";"335";"Skelbækvej 8A";"3650";"Ølstykke";"";"";"";"maglehojskolen.dk";"http://www.maglehojskolen.dk/"
"150";"Materialegården Smørum";"125";"Hassellunden 6-8";"2765";"Smørum";"";"";"";"";""
"64";"Møllehøjens Børnegård";"205";"Lillestræde 7";"3660";"Stenløse";"";"";"";"mollehoj.egeborn.dk";"http://egedal.inst.dk/Foresides/IntraForeside.aspx?Location=IP.17C"
"79";"Ølstykke Bibliotek";"310";"Østervej 1A";"3650";"Ølstykke";"";"7259 7750";"";"egedalbibliotekerne.dk";"http://www.egedalbibliotekerne.dk/"
"168";"Ølstykke Renseanlæg";"313B";"Krogholmvej 71";"3650";"Ølstykke";"";"";"";"egedalforsyning.dk";"http://www.egedalforsyning.dk/"
"85";"Ølstykke Svømmehal";"323";"Stadionvej 14";"3650";"Ølstykke";"";"";"";"";""
"169";"Ølstykke Vandværk";"314";"Svestrupvej 19";"3650";"Ølstykke";"";"";"";"egedalforsyning.dk";"http://www.egedalforsyning.dk/"
"210";"ØlstykkeGruppen";"322H";"Hampelandvej 9A";"3650";"Ølstykke";"";"";"";"";""
"84";"Ølstykkehallen";"324";"Tranekærvej 1";"3650";"Ølstykke";"";"";"";"";""
"22";"Ørnebjerg Fritids- og Ungdomsklub";"306";"Irisvej 11";"3650";"Ølstykke";"";"7259 8570";"klub.ornebjerg@egekom.dk";"kluboernebjerg.dk";"http://www.kluboernebjerg.dk/"
"191";"Plejeboligerne Engbo";"346";"Carl Hansens Allé 51";"3650";"Ølstykke";"";"";"";"";""
"183";"Plejecenter Damgårdsparken";"235";"Damgårdsparken 1B";"3660";"Stenløse";"";"";"";"";""
"230";"Plejecenter Egeparken";"400P";"Rådhusstrædet 4";"3650";"Ølstykke";"";"7259 7370/80/90";"sundhedogomsorg@egekom.dk";"";""
"121";"Porsebakken";"103";"Nybøllevej 11";"2765";"Smørum";"";"";"";"";""
"188";"Sandbjerghallen";"247";"Skolevej 10";"3660";"Stenløse";"";"";"";"";""
"141";"Sandbjerghus";"239";"Skolevej 10B";"3660";"Stenløse";"";"";"";"";""
"86";"SFO Bækkegården";"249F";"Bækkegårds Plads 2";"3650";"Ølstykke";"";"";"";"baekkegaardsskolen.dk";"http://www.baekkegaardsskolen.dk/"
"87";"SFO Firkløveren";"108F";"Flodvej 89";"2765";"Smørum";"";"";"";"boesagerskolen.dk";"http://www.boesagerskolen.dk/"
"88";"SFO Ganløse Skole";"226F";"Vestergade 5A";"3660";"Stenløse";"";"";"";"ganloesesfo.iportalen.dk";"https://ganloesesfo.iportalen.dk/"
"89";"SFO Hampeland";"332F";"Ny Toftegårdsvej 9 A/B";"3650";"Ølstykke";"";"";"";"hampelandskolen.dk";"http://www.hampelandskolen.dk/"
"91";"SFO Kildekær";"113F";"Råbrovej 22";"2765";"Smørum";"";"";"";"soeagerskolen.dk";"http://www.soeagerskolen.dk/"
"92";"SFO Lærkeskolen";"228F";"Præstegårdsvej 30";"3660";"Stenløse";"";"";"";"sfolaerkeskolen.iportalen.dk";"https://sfolaerkeskolen.iportalen.dk/"
"93";"SFO Maglehøj";"335F";"Skelbækvej 8C";"3650";"Ølstykke";"";"";"";"maglehojskolen.dk";"http://www.maglehojskolen.dk/"
"94";"SFO Mosehuset";"115F";"Æblevangen 126";"2765";"Smørum";"";"";"";"mosehuset.iportalen.dk";"https://mosehuset.iportalen.dk/"
"95";"SFO Slagslunde Skole";"225F";"Blomstervej 19";"3660";"Slagslunde";"";"";"";"slagslunde-skole.dk";"http://www.slagslunde-skole.dk/"
"96";"SFO Stengården";"237F";"Stengårds Plads 2";"3650";"Ølstykke";"";"";"";"stengaardsskolen.dk";"http://www.stengaardsskolen.dk/"
"97";"SFO Toftehøj";"333F";"Frederiksborgvej 4";"3650";"Ølstykke";"";"";"";"toftehojskolen.dk";"http://www.toftehojskolen.dk/"
"98";"SFO Veksø Skole";"227F";"Gl. Hovevej 812";"3670";"Veksø Sjælland";"";"";"";"sfoveksoe.iportalen.dk";"https://sfoveksoe.iportalen.dk/"
"231";"Skovbo";"339S";"Carl Hansens Allé 33-49";"3650";"Ølstykke";"";"";"";"egedalsocialpsykiatri.dk";"http://egedalsocialpsykiatri.dk/"
"180";"Skovbørnehaven Hede Enge";"112";"Hede Enge 29";"2765";"Smørum";"";"";"";"hede-enge.egeborn.dk";"http://egedal.inst.dk/Foresides/IntraForeside.aspx?Location=IP.181"
"65";"Skovbørnehaven Tungegården";"342";"Tungegårdsvej 3";"3650";"Ølstykke";"";"";"";"tungegaarden.dk";"http://www.tungegaarden.dk/"
"106";"Slagslunde Skole";"225";"Blomstervej 19";"3660";"Slagslunde";"";"";"";"slagslunde-skole.dk";"http://www.slagslunde-skole.dk/"
"77";"Smørum Bibliotek";"107";"Flodvej 68 ";"2765";"Smørum";"";"7259 7700";"";"egedalbibliotekerne.dk";"http://www.egedalbibliotekerne.dk/"
"17";"Smørum Kulturhus";"107K";"Flodvej 68";"2765";"Smørum";"";"";"";"";""
"136";"Smørumgruppen";"104H";"Kratkær 6";"2765";"Smørum";"";"";"";"";""
"108";"Søagerskolen";"113";"Råbrovej 20-24";"2765";"Smørum";"";"";"";"soeagerskolen.dk";"http://www.soeagerskolen.dk/"
"185";"Socialpsykiatrien";"238";"Krogholmvej 49";"3660";"Stenløse";"";"";"";"egedalsocialpsykiatri.dk";"http://egedalsocialpsykiatri.dk/"
"129";"Solkrogen";"242";"Damgårdsparken 42-44";"3660";"Stenløse";"";"";"";"";""
"107";"Stengårdsskolen";"237";"Stengårds Plads 2";"3650";"Ølstykke";"";"";"";"stengaardsskolen.dk";"http://www.stengaardsskolen.dk/"
"78";"Stenløse Bibliotek";"229";"Stenløse Center 23C";"3660";"Stenløse";"";"";"";"egedalbibliotekerne.dk";"http://www.egedalbibliotekerne.dk/"
"73";"Stenløse Fritids- og Juniorklub";"231";"Degnebakken 9";"3660";"Stenløse";"";"";"";"stenlose-fk.dk";"http://www.stenlose-fk.dk"
"160";"Stenløse Genbrugsstation";"217";"Toppevadvej 28";"3660";"Stenløse";"";"";"";"";""
"158";"Stenløse Hallen";"214";"Præstegårdsvej 20";"3660";"Stenløse";"";"";"";"";""
"2";"Stenløse Kulturhus";"200";"Rådhustorvet 2";"3660";"Stenløse";"";"7259  6000";"kommune@egekom.dk";"";""
"74";"Stenløse Menighedsbørnehave";"230";"Engholmvej 8";"3660";"Stenløse";"";"";"";"menighedsbh.dk";"http://www.menighedsbh.dk"
"5";"Stenløse Rådhus Anneks";"200A";"Rådhustorvet 2";"3660";"Stenløse";"Åbningstidfor personlig henvendelse:Mandag - onsdag	10.00-14.00Torsdag	10.00-17.30Fredag	10.00-12.00Telefontid:Mandag - onsdag	09.00-15.00Torsdag	09.00-17.30Fredag	09.00-12.00";"7259  6000";"brand@egekom.dk";"egedalkommune.dk/brand";"http://www.egedalkommune.dk/brand"
"157";"Stenløse Renseanlæg";"212";"Bækholmvej 33";"3660";"Stenløse";"";"";"";"egedalforsyning.dk";"http://www.egedalforsyning.dk/"
"137";"Stenløsegruppen";"235H";"Damgårdsparken 1B, 1. sal";"3660";"Stenløse";"";"";"";"";""
"83";"Stenløsehallen";"228I";"Præstegårdsvej 20";"3660";"Stenløse";"";"";"";"";""
"140";"Sundhedstjenesten";"400R";"Dronning Dagmars Vej 200";"3650";"Ølstykke";"";"7259  6720";"Sundhedstjenesten@egekom.dk";"sundhedstjenesten-egedal.dk";"http://www.sundhedstjenesten-egedal.dk/"
"205";"Tandklinik Bækkegården";"249T";"Bækkegårds Plads 1";"3650";"Ølstykke";"";"";"";"tandplejen-egedal.dk";"http://www.tandplejen-egedal.dk/"
"203";"Tandklinik Boesagerskolen";"108T";"Flodvej 89";"2765";"Smørum";"";"";"";"tandplejen-egedal.dk";"http://www.tandplejen-egedal.dk/"
"204";"Tandklinik Lærkeskolen";"228T";"Præstegårdsvej 30";"3660";"Stenløse";"";"";"";"tandplejen-egedal.dk";"http://www.tandplejen-egedal.dk/"
"175";"Tandreguleringsklinik Ølstykke";"337";"Bryggertorvet 4A";"3650";"Ølstykke";"";"";"";"cftand.dk";"http://www.cftand.dk/"
"109";"Toftehøjskolen";"333";"Frederiksborgvej 4";"3650";"Ølstykke";"";"";"";"toftehojskolen.dk";"http://www.toftehojskolen.dk/"
"193";"Tofteparken Administration";"321A";"Tofteparken 15";"3650";"Ølstykke";"";"";"";"";""
"148";"Ung Egedal";"120";"Hindbærvangen 224";"2765";"Smørum";"";"";"";"ungegedal.dk";"http://www.ungegedal.dk/"
"75";"Veksø Fritids- og Ungdomsklub";"209";"Veksø Bygade 19";"3670";"Veksø";"";"";"";"veksoklub.dk";"http://www.veksoklub.dk"
"232";"Veksø Hallen";"227H";"Gl. Hovevej 14";"3670";"Veksø Sjælland";"";"";"";"";""
"110";"Veksø Skole";"227";"Gl. Hovevej 8-12";"3670";"Veksø Sjælland";"";"";"";"veksoe-skole.dk";"http://www.veksoe-skole.dk/"
